date,price,portfolio_value,long_shares,short_shares,long_position,short_position,cash,long_action,short_action,returns,benchmark_portfolio_value,benchmark_long_shares,benchmark_short_shares,benchmark_long_position,benchmark_short_position,benchmark_cash,benchmark_returns
2016-05-26,1.1088233,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2699067.918244348,2434173.16328533,0.0,2699067.918244348,0.0,0.0,-0.004188272636383772
2016-05-27,1.1206058,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2727748.629190188,2434173.16328533,0.0,2727748.629190188,0.0,0.0,0.010626154020428658
2016-05-31,1.1267424,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2742686.021893058,2434173.16328533,0.0,2742686.021893058,0.0,0.0,0.005476088263094425
2016-06-01,1.1468717,2491173.360411953,0.0,0.0,0.0,0.0,2491173.360411953,0.0,0.0,0.0,2791684.279748577,2434173.16328533,0.0,2791684.279748577,0.0,0.0,0.01786506362259388
2016-06-02,1.1490813,2490944.3760932796,0.0,159420.78864900826,0.0,183187.45493888852,2674131.831032168,0.0,0.18318745,-9.191825920767901e-05,2797062.983075119,2434173.16328533,0.0,2797062.983075119,0.0,0.0,0.0019266875460743904
2016-06-03,1.1571819,2489422.3879017266,0.0,0.0,0.0,0.0,2489422.3879017266,0.0,0.0,-0.0006110085018999762,2816781.026258394,2434173.16328533,0.0,2816781.026258394,0.0,0.0,0.007049552630633116
2016-06-06,1.1409802,2489356.599610332,0.0,46127.55865595624,0.0,52630.63311576843,2541987.2327261004,0.0,0.052630633,-2.642713093383959e-05,2777343.4890115773,2434173.16328533,0.0,2777343.4890115773,0.0,0.0,-0.014000924304127693
2016-06-07,1.1350888,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,8.28765377207628e-05,2763002.698274577,2434173.16328533,0.0,2763002.698274577,0.0,0.0,-0.005163492169231176
2016-06-08,1.1372982,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,0.0,2768380.8212490124,2434173.16328533,0.0,2768380.8212490124,0.0,0.0,0.001946477685123682
2016-06-09,1.133616,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,0.0,2759417.5731343403,2434173.16328533,0.0,2759417.5731343403,0.0,0.0,-0.003237722208723426
2016-06-10,1.1630733,2489562.90886646,0.0,0.0,0.0,0.0,2489562.90886646,0.0,0.0,0.0,2831121.816995394,2434173.16328533,0.0,2831121.816995394,0.0,0.0,0.02598528191447258
